-4.00000000e+01  3.34389987e-02 -4.00000000e+01  2.72279862e-03 -4.00000000e+01  8.13960643e-04 
-3.90000000e+01  3.33105616e-02 -3.90000000e+01  2.72396539e-03 -3.90000000e+01  8.16788246e-04 
-3.80000000e+01  3.31830825e-02 -3.80000000e+01  2.72513214e-03 -3.80000000e+01  8.19629913e-04 
-3.70000000e+01  3.30565507e-02 -3.70000000e+01  2.72629888e-03 -3.70000000e+01  8.22485382e-04 
-3.60000000e+01  3.29309557e-02 -3.60000000e+01  2.72746560e-03 -3.60000000e+01  8.25354698e-04 
-3.50000000e+01  3.28062871e-02 -3.50000000e+01  2.72863230e-03 -3.50000000e+01  8.28237907e-04 
-3.40000000e+01  3.26825347e-02 -3.40000000e+01  2.72979899e-03 -3.40000000e+01  8.31135054e-04 
-3.30000000e+01  3.25596885e-02 -3.30000000e+01  2.73096565e-03 -3.30000000e+01  8.34046182e-04 
-3.20000000e+01  3.24377386e-02 -3.20000000e+01  2.73213229e-03 -3.20000000e+01  8.36971334e-04 
-3.10000000e+01  3.23166751e-02 -3.10000000e+01  2.73329891e-03 -3.10000000e+01  8.39910550e-04 
-3.00000000e+01  3.21964885e-02 -3.00000000e+01  2.73446551e-03 -3.00000000e+01  8.42863870e-04 
-2.90000000e+01  3.20771693e-02 -2.90000000e+01  2.73563208e-03 -2.90000000e+01  8.45831334e-04 
-2.80000000e+01  3.19587081e-02 -2.80000000e+01  2.73679863e-03 -2.80000000e+01  8.48812979e-04 
-2.70000000e+01  3.18410958e-02 -2.70000000e+01  2.73796514e-03 -2.70000000e+01  8.51808841e-04 
-2.60000000e+01  3.17243231e-02 -2.60000000e+01  2.73913163e-03 -2.60000000e+01  8.54818955e-04 
-2.50000000e+01  3.16083813e-02 -2.50000000e+01  2.74029808e-03 -2.50000000e+01  8.57843355e-04 
-2.40000000e+01  3.14932614e-02 -2.40000000e+01  2.74146451e-03 -2.40000000e+01  8.60882072e-04 
-2.30000000e+01  3.13789547e-02 -2.30000000e+01  2.74263090e-03 -2.30000000e+01  8.63935137e-04 
-2.20000000e+01  3.12654527e-02 -2.20000000e+01  2.74379725e-03 -2.20000000e+01  8.67002580e-04 
-2.10000000e+01  3.11527469e-02 -2.10000000e+01  2.74496357e-03 -2.10000000e+01  8.70084427e-04 
-2.00000000e+01  3.10408290e-02 -2.00000000e+01  2.74612985e-03 -2.00000000e+01  8.73180704e-04 
-1.90000000e+01  3.09296907e-02 -1.90000000e+01  2.74729609e-03 -1.90000000e+01  8.76291435e-04 
-1.80000000e+01  3.08193239e-02 -1.80000000e+01  2.74846229e-03 -1.80000000e+01  8.79416644e-04 
-1.70000000e+01  3.07097206e-02 -1.70000000e+01  2.74962845e-03 -1.70000000e+01  8.82556349e-04 
-1.60000000e+01  3.06008730e-02 -1.60000000e+01  2.75079457e-03 -1.60000000e+01  8.85710570e-04 
-1.50000000e+01  3.04927732e-02 -1.50000000e+01  2.75196064e-03 -1.50000000e+01  8.88879324e-04 
-1.40000000e+01  3.03854136e-02 -1.40000000e+01  2.75312667e-03 -1.40000000e+01  8.92062624e-04 
-1.30000000e+01  3.02787867e-02 -1.30000000e+01  2.75429265e-03 -1.30000000e+01  8.95260485e-04 
-1.20000000e+01  3.01728848e-02 -1.20000000e+01  2.75545858e-03 -1.20000000e+01  8.98472915e-04 
-1.10000000e+01  3.00677008e-02 -1.10000000e+01  2.75662446e-03 -1.10000000e+01  9.01699925e-04 
-1.00000000e+01  2.99632272e-02 -1.00000000e+01  2.75779029e-03 -1.00000000e+01  9.04941518e-04 
-9.00000000e+00  2.98594570e-02 -9.00000000e+00  2.75895606e-03 -9.00000000e+00  9.08197701e-04 
-8.00000000e+00  2.97563830e-02 -8.00000000e+00  2.76012179e-03 -8.00000000e+00  9.11468473e-04 
-7.00000000e+00  2.96539984e-02 -7.00000000e+00  2.76128745e-03 -7.00000000e+00  9.14753835e-04 
-6.00000000e+00  2.95522961e-02 -6.00000000e+00  2.76245306e-03 -6.00000000e+00  9.18053781e-04 
-5.00000000e+00  2.94512694e-02 -5.00000000e+00  2.76361861e-03 -5.00000000e+00  9.21368308e-04 
-4.00000000e+00  2.93509117e-02 -4.00000000e+00  2.76478411e-03 -4.00000000e+00  9.24697405e-04 
-3.00000000e+00  2.92512162e-02 -3.00000000e+00  2.76594954e-03 -3.00000000e+00  9.28041061e-04 
-2.00000000e+00  2.91521765e-02 -2.00000000e+00  2.76711490e-03 -2.00000000e+00  9.31399263e-04 
-1.00000000e+00  2.90537861e-02 -1.00000000e+00  2.76828021e-03 -1.00000000e+00  9.34771993e-04 
 0.00000000e+00  2.89560387e-02  0.00000000e+00  2.76944545e-03  0.00000000e+00  9.38159231e-04 
 1.00000000e+00  2.88589279e-02  1.00000000e+00  2.77061062e-03  1.00000000e+00  9.41560955e-04 
 2.00000000e+00  2.87624477e-02  2.00000000e+00  2.77177572e-03  2.00000000e+00  9.44977138e-04 
 3.00000000e+00  2.86665918e-02  3.00000000e+00  2.77294076e-03  3.00000000e+00  9.48407751e-04 
 4.00000000e+00  2.85713542e-02  4.00000000e+00  2.77410572e-03  4.00000000e+00  9.51852763e-04 
 5.00000000e+00  2.84767290e-02  5.00000000e+00  2.77527061e-03  5.00000000e+00  9.55312137e-04 
 6.00000000e+00  2.83827103e-02  6.00000000e+00  2.77643543e-03  6.00000000e+00  9.58785835e-04 
 7.00000000e+00  2.82892923e-02  7.00000000e+00  2.77760017e-03  7.00000000e+00  9.62273814e-04 
