 temp-sweep      vout            vh              vl             
 7.10000000e+01 -4.16541744e-02  7.34250262e-01  7.75904436e-01 
 7.20000000e+01 -4.18291116e-02  7.32786940e-01  7.74616051e-01 
 7.30000000e+01 -4.20041584e-02  7.31322872e-01  7.73327030e-01 
 7.40000000e+01 -4.21793139e-02  7.29858060e-01  7.72037374e-01 
 7.50000000e+01 -4.23545772e-02  7.28392507e-01  7.70747084e-01 
 7.60000000e+01 -4.25299474e-02  7.26926213e-01  7.69456160e-01 
 7.70000000e+01 -4.27054237e-02  7.25459180e-01  7.68164603e-01 
 7.80000000e+01 -4.28810052e-02  7.23991410e-01  7.66872415e-01 
 7.90000000e+01 -4.30566912e-02  7.22522905e-01  7.65579596e-01 
 8.00000000e+01 -4.32324807e-02  7.21053666e-01  7.64286146e-01 
 8.10000000e+01 -4.34083729e-02  7.19583695e-01  7.62992068e-01 
 8.20000000e+01 -4.35843671e-02  7.18112994e-01  7.61697361e-01 
 8.30000000e+01 -4.37604625e-02  7.16641564e-01  7.60402026e-01 
 8.40000000e+01 -4.39366581e-02  7.15169407e-01  7.59106065e-01 
 8.50000000e+01 -4.41129534e-02  7.13696525e-01  7.57809479e-01 
 8.60000000e+01 -4.42893474e-02  7.12222920e-01  7.56512267e-01 
 8.70000000e+01 -4.44658394e-02  7.10748592e-01  7.55214432e-01 
 8.80000000e+01 -4.46424286e-02  7.09273545e-01  7.53915973e-01 
 8.90000000e+01 -4.48191144e-02  7.07797779e-01  7.52616893e-01 
 9.00000000e+01 -4.49958958e-02  7.06321296e-01  7.51317191e-01 
 9.10000000e+01 -4.51727723e-02  7.04844097e-01  7.50016870e-01 
 9.20000000e+01 -4.53497430e-02  7.03366186e-01  7.48715929e-01 
 9.30000000e+01 -4.55268072e-02  7.01887562e-01  7.47414370e-01 
 9.40000000e+01 -4.57039643e-02  7.00408229e-01  7.46112193e-01 
 9.50000000e+01 -4.58812134e-02  6.98928187e-01  7.44809400e-01 
 9.60000000e+01 -4.60585540e-02  6.97447438e-01  7.43505992e-01 
 9.70000000e+01 -4.62359852e-02  6.95965983e-01  7.42201969e-01 
 9.80000000e+01 -4.64135065e-02  6.94483826e-01  7.40897332e-01 
 9.90000000e+01 -4.65911171e-02  6.93000966e-01  7.39592083e-01 
 1.00000000e+02 -4.67688163e-02  6.91517406e-01  7.38286223e-01 
