 4.90000000e+01 -4.91916178e-02  4.90000000e+01  7.00123630e-01  4.90000000e+01  7.49315248e-01 
 5.00000000e+01 -4.93561708e-02  5.00000000e+01  6.98905436e-01  5.00000000e+01  7.48261606e-01 
 5.10000000e+01 -4.95208658e-02  5.10000000e+01  6.97686185e-01  5.10000000e+01  7.47207050e-01 
 5.20000000e+01 -4.96857020e-02  5.20000000e+01  6.96465879e-01  5.20000000e+01  7.46151581e-01 
 5.30000000e+01 -4.98506791e-02  5.30000000e+01  6.95244520e-01  5.30000000e+01  7.45095199e-01 
 5.40000000e+01 -5.00157965e-02  5.40000000e+01  6.94022109e-01  5.40000000e+01  7.44037905e-01 
 5.50000000e+01 -5.01810537e-02  5.50000000e+01  6.92798648e-01  5.50000000e+01  7.42979701e-01 
 5.60000000e+01 -5.03464502e-02  5.60000000e+01  6.91574138e-01  5.60000000e+01  7.41920588e-01 
 5.70000000e+01 -5.05119857e-02  5.70000000e+01  6.90348580e-01  5.70000000e+01  7.40860566e-01 
 5.80000000e+01 -5.06776594e-02  5.80000000e+01  6.89121978e-01  5.80000000e+01  7.39799637e-01 
 5.90000000e+01 -5.08434711e-02  5.90000000e+01  6.87894330e-01  5.90000000e+01  7.38737802e-01 
 6.00000000e+01 -5.10094201e-02  6.00000000e+01  6.86665641e-01  6.00000000e+01  7.37675061e-01 
 6.10000000e+01 -5.11755060e-02  6.10000000e+01  6.85435909e-01  6.10000000e+01  7.36611415e-01 
 6.20000000e+01 -5.13417284e-02  6.20000000e+01  6.84205138e-01  6.20000000e+01  7.35546867e-01 
 6.30000000e+01 -5.15080867e-02  6.30000000e+01  6.82973329e-01  6.30000000e+01  7.34481415e-01 
 6.40000000e+01 -5.16745805e-02  6.40000000e+01  6.81740482e-01  6.40000000e+01  7.33415063e-01 
 6.50000000e+01 -5.18412093e-02  6.50000000e+01  6.80506600e-01  6.50000000e+01  7.32347810e-01 
 6.60000000e+01 -5.20079726e-02  6.60000000e+01  6.79271684e-01  6.60000000e+01  7.31279657e-01 
 6.70000000e+01 -5.21748700e-02  6.70000000e+01  6.78035735e-01  6.70000000e+01  7.30210605e-01 
 6.80000000e+01 -5.23419011e-02  6.80000000e+01  6.76798755e-01  6.80000000e+01  7.29140656e-01 
 6.90000000e+01 -5.25090652e-02  6.90000000e+01  6.75560745e-01  6.90000000e+01  7.28069810e-01 
 7.00000000e+01 -5.26763621e-02  7.00000000e+01  6.74321706e-01  7.00000000e+01  7.26998068e-01 
 7.10000000e+01 -5.28437912e-02  7.10000000e+01  6.73081640e-01  7.10000000e+01  7.25925431e-01 
 7.20000000e+01 -5.30113520e-02  7.20000000e+01  6.71840548e-01  7.20000000e+01  7.24851900e-01 
 7.30000000e+01 -5.31790442e-02  7.30000000e+01  6.70598432e-01  7.30000000e+01  7.23777476e-01 
 7.40000000e+01 -5.33468673e-02  7.40000000e+01  6.69355292e-01  7.40000000e+01  7.22702160e-01 
 7.50000000e+01 -5.35148208e-02  7.50000000e+01  6.68111131e-01  7.50000000e+01  7.21625952e-01 
 7.60000000e+01 -5.36829043e-02  7.60000000e+01  6.66865949e-01  7.60000000e+01  7.20548854e-01 
 7.70000000e+01 -5.38511174e-02  7.70000000e+01  6.65619748e-01  7.70000000e+01  7.19470866e-01 
 7.80000000e+01 -5.40194596e-02  7.80000000e+01  6.64372530e-01  7.80000000e+01  7.18391989e-01 
 7.90000000e+01 -5.41879305e-02  7.90000000e+01  6.63124294e-01  7.90000000e+01  7.17312225e-01 
 8.00000000e+01 -5.43565296e-02  8.00000000e+01  6.61875044e-01  8.00000000e+01  7.16231573e-01 
 8.10000000e+01 -5.45252566e-02  8.10000000e+01  6.60624779e-01  8.10000000e+01  7.15150036e-01 
 8.20000000e+01 -5.46941110e-02  8.20000000e+01  6.59373502e-01  8.20000000e+01  7.14067613e-01 
 8.30000000e+01 -5.48630924e-02  8.30000000e+01  6.58121213e-01  8.30000000e+01  7.12984306e-01 
 8.40000000e+01 -5.50322003e-02  8.40000000e+01  6.56867915e-01  8.40000000e+01  7.11900115e-01 
 8.50000000e+01 -5.52014344e-02  8.50000000e+01  6.55613607e-01  8.50000000e+01  7.10815041e-01 
 8.60000000e+01 -5.53707943e-02  8.60000000e+01  6.54358291e-01  8.60000000e+01  7.09729086e-01 
 8.70000000e+01 -5.55402795e-02  8.70000000e+01  6.53101969e-01  8.70000000e+01  7.08642249e-01 
 8.80000000e+01 -5.57098896e-02  8.80000000e+01  6.51844642e-01  8.80000000e+01  7.07554532e-01 
 8.90000000e+01 -5.58796242e-02  8.90000000e+01  6.50586311e-01  8.90000000e+01  7.06465936e-01 
 9.00000000e+01 -5.60494830e-02  9.00000000e+01  6.49326977e-01  9.00000000e+01  7.05376460e-01 
